證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","2249578","310815371","138.85","138.85","137.95","138.00","-0.3000","3350"
"0051","元大中型100","114084","6490829","56.50","57.10","56.50","56.85","0.7500","82"
"0052","富邦科技","738860","93449035","126.55","127.15","126.20","126.20","-0.3000","269"
"0053","元大電子","8204","548862","67.05","67.20","66.60","66.60","-0.3000","18"
"0054","元大台商50","1142","35961","31.50","31.50","31.50","31.50","-0.0500","6"
"0055","元大MSCI金融","105809","2212924","21.00","21.10","20.85","20.87","-0.1200","100"
"0056","元大高股息","4544274","158797759","35.00","35.00","34.89","34.91","0.0100","3564"
"0057","富邦摩台","21015","1984106","94.70","94.70","94.40","94.40","0.3500","6"
"0061","元大寶滬深","164255","3841501","23.49","23.49","23.31","23.31","-0.1300","91"
"006203","元大MSCI台灣","4000","263200","66.00","66.00","65.60","65.60","0.2000","4"
"006204","永豐臺灣加權","21470","1925665","89.65","89.70","89.65","89.70","0.3000","16"
"006205","富邦上証","1630638","61351693","37.83","38.00","37.46","37.60","-0.2300","488"
"006206","元大上證50","664075","24995933","38.03","38.06","37.42","37.48","-0.5200","249"
"006207","FH滬深","159194","4876184","30.70","30.78","30.54","30.60","-0.1000","37"
"006208","富邦台50","1237359","98217314","79.80","79.80","79.20","79.20","-0.4000","1183"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2211234","280948631","127.25","127.65","126.30","126.75","-0.4500","662"
"00632R","元大台灣50反1","60696844","342984111","5.64","5.67","5.64","5.65","0.0100","3120"
"00633L","富邦上証正2","9534673","629362822","67.45","67.70","65.20","65.75","-1.2500","2824"
"00634R","富邦上証反1","773301","2996251","3.84","3.89","3.84","3.89","0.0500","80"
"00635U","期元大S&P黃金","1291991","30871986","23.89","23.97","23.80","23.92","-0.4700","627"
"00636","國泰中國A50","2126624","57559409","27.32","27.37","26.94","27.05","-0.2700","897"
"00636K","國泰中國A50+U","","","","","","","0.0000",""
"00637L","元大滬深300正2","83458415","2184261874","26.69","26.76","25.78","25.90","-0.6000","16024"
"00638R","元大滬深300反1","2097193","16373542","7.71","7.85","7.70","7.80","0.0800","147"
"00639","富邦深100","1004623","16855784","16.71","16.93","16.68","16.80","0.0100","224"
"00640L","富邦日本正2","246000","7067080","29.00","29.00","28.60","28.69","-0.3700","39"
"00641R","富邦日本反1","261003","2764842","10.56","10.62","10.55","10.60","0.0800","52"
"00642U","期元大S&P石油","12826698","153972271","12.06","12.06","11.97","11.98","-0.2800","3204"
"00643","群益深証中小","509395","9138664","17.85","18.09","17.82","17.98","0.1300","184"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","150588","3843300","25.62","25.62","25.45","25.52","-0.1100","63"
"00646","元大S&P500","572928","20652432","35.97","36.10","35.97","36.07","0.1900","327"
"00647L","元大S&P500正2","117100","7361199","62.95","62.95","62.85","62.85","0.4000","12"
"00648R","元大S&P500反1","1703005","12421430","7.30","7.30","7.28","7.29","-0.0300","97"
"00650L","FH香港正2","1396001","42207750","29.88","30.40","29.83","30.21","0.5200","124"
"00651R","FH香港反1","29000","198290","6.82","6.88","6.80","6.83","-0.0500","12"
"00652","富邦印度","310867","8072391","26.11","26.13","25.73","25.73","-0.4600","119"
"00653L","富邦印度正2","515025","19486500","38.49","38.51","37.16","37.16","-1.2400","203"
"00654R","富邦印度反1","198000","1817180","9.18","9.27","9.11","9.27","0.1400","60"
"00655L","國泰中國A50正2","5139566","256097896","50.90","51.10","49.15","49.58","-0.9700","1670"
"00656R","國泰中國A50反1","163000","1162690","7.09","7.18","7.08","7.15","0.0600","25"
"00657","國泰日經225","121001","4260154","35.25","35.25","35.20","35.22","0.0700","6"
"00657K","國泰日經225+U","","","","","","","0.0000",""
"00660","元大歐洲50","24031","713536","29.68","29.81","29.64","29.64","0.0300","19"
"00661","元大日經225","2000","72840","36.33","36.51","36.33","36.51","0.0000","2"
"00662","富邦NASDAQ","269017","13615268","50.00","50.75","50.00","50.65","0.9900","171"
"00663L","國泰臺灣加權正2","34000","3892850","114.30","114.65","114.30","114.65","1.0500","11"
"00664R","國泰臺灣加權反1","5155971","33041557","6.41","6.43","6.40","6.41","0.0000","286"
"00665L","富邦恒生國企正2","87000","2087290","23.83","24.20","23.83","23.89","0.2900","42"
"00666R","富邦恒生國企反1","70000","774200","11.06","11.06","11.06","11.06","-0.0200","2"
"00668","國泰美國道瓊","45362","1545433","34.02","34.14","34.02","34.14","-0.0200","23"
"00668K","國泰美國道瓊+U","","","","","","","0.0000",""
"00669R","國泰美國道瓊反1","5331001","43652638","8.19","8.20","8.18","8.19","0.0200","240"
"00670L","富邦NASDAQ正2","761053","73772289","96.75","97.15","96.75","96.95","3.6000","250"
"00671R","富邦NASDAQ反1","4134520","23625116","5.71","5.72","5.70","5.72","-0.1000","325"
"00673R","期元大S&P原油反1","3356051","53325451","15.85","15.98","15.85","15.94","0.3400","365"
"00674R","期元大S&P黃金反1","699000","9337790","13.37","13.40","13.33","13.37","0.2800","173"
"00675L","富邦臺灣加權正2","269026","13234904","49.21","49.35","48.90","49.12","-0.0600","146"
"00676R","富邦臺灣加權反1","4880014","17065819","3.50","3.51","3.49","3.50","0.0000","298"
"00678","群益NBI生技","150999","4279014","28.16","28.40","28.16","28.39","0.2300","44"
"00680L","元大美債20正2","110000","2633160","23.88","24.04","23.84","24.01","0.8800","41"
"00681R","元大美債20反1","47000","647580","13.80","13.80","13.77","13.77","-0.2700","17"
"00682U","期元大美元指數","348000","6346100","18.17","18.27","18.17","18.24","0.1100","125"
"00683L","期元大美元指正2","2791000","47524070","17.02","17.10","17.00","17.10","0.3000","649"
"00684R","期元大美元指反1","2000","38000","18.97","19.03","18.97","19.03","0.0000","2"
"00685L","群益臺灣加權正2","8000","345200","43.20","43.20","43.05","43.05","-0.1500","3"
"00686R","群益臺灣加權反1","212000","807880","3.81","3.82","3.81","3.82","0.0100","8"
"00688L","國泰20年美債正2","334000","7995800","23.82","24.00","23.82","23.97","0.9100","30"
"00689R","國泰20年美債反1","182000","2629520","14.47","14.47","14.44","14.44","-0.2800","24"
"00690","兆豐藍籌30","11091","362919","32.76","32.76","32.63","32.63","-0.0400","16"
"00692","富邦公司治理","1290032","45803155","35.61","35.61","35.45","35.45","-0.1500","771"
"00693U","期街口S&P黃豆","2258659","46637741","20.61","20.78","20.52","20.53","-1.2200","1027"
"00700","富邦恒生國企","107053","2012198","18.82","18.89","18.79","18.79","0.1100","9"
"00701","國泰股利精選30","840455","20081529","24.00","24.00","23.86","23.86","-0.1400","583"
